scenario,parameter,value,protocol,metric,mean,ci95,n_runs,censored_fraction
s2_speed,maxSpeed,3.0,Adaptive-IoUT-VBF,mean_delay_s,1.2230998,0.09995868596986576,20,0.0
s2_speed,maxSpeed,5.0,Adaptive-IoUT-VBF,mean_delay_s,1.13579915,0.10019678112044937,20,0.0
s2_speed,maxSpeed,7.0,Adaptive-IoUT-VBF,mean_delay_s,1.0047054999999998,0.11541402665774166,20,0.0
s2_speed,maxSpeed,10.0,Adaptive-IoUT-VBF,mean_delay_s,0.8975834500000002,0.07268510773709722,20,0.0
s2_speed,maxSpeed,1.0,Classic-VBF,mean_delay_s,3.66163275,0.29089061397276494,20,0.0
s2_speed,maxSpeed,2.0,Classic-VBF,mean_delay_s,3.63390725,0.27734835812160424,20,0.0
s2_speed,maxSpeed,3.0,Classic-VBF,mean_delay_s,3.67098765,0.2357663357148827,20,0.0
s2_speed,maxSpeed,5.0,Classic-VBF,mean_delay_s,3.6341761499999996,0.16880268983041272,20,0.0
s2_speed,maxSpeed,7.0,Classic-VBF,mean_delay_s,3.5684525000000002,0.16722001975685716,20,0.0
s2_speed,maxSpeed,10.0,Classic-VBF,mean_delay_s,3.5320533,0.20321286498030397,20,0.0
s2_speed,maxSpeed,1.0,HHVBF,mean_delay_s,3.9061000500000005,0.3878772339053089,20,0.0
s2_speed,maxSpeed,2.0,HHVBF,mean_delay_s,3.6519831499999995,0.3220411381325674,20,0.0
s2_speed,maxSpeed,3.0,HHVBF,mean_delay_s,3.7048152499999993,0.24315417291539287,20,0.0
s2_speed,maxSpeed,5.0,HHVBF,mean_delay_s,3.61697245,0.21364071516677105,20,0.0
s2_speed,maxSpeed,7.0,HHVBF,mean_delay_s,3.5149682999999996,0.25999076047455666,20,0.0
s2_speed,maxSpeed,10.0,HHVBF,mean_delay_s,3.3616692,0.13927555503915667,20,0.0
s2_speed,maxSpeed,1.0,DBR,mean_delay_s,16.983282850000002,5.782356452267031,20,0.0
s2_speed,maxSpeed,2.0,DBR,mean_delay_s,25.683067,8.595313347777315,20,0.0
s2_speed,maxSpeed,3.0,DBR,mean_delay_s,20.492959749999997,4.443308892627385,20,0.0
s2_speed,maxSpeed,5.0,DBR,mean_delay_s,23.4194668,6.920007819650616,20,0.0
s2_speed,maxSpeed,7.0,DBR,mean_delay_s,23.783010700000002,6.733844608958818,20,0.0
s2_speed,maxSpeed,10.0,DBR,mean_delay_s,26.29231175,6.154970420916782,20,0.0
s2_speed,maxSpeed,1.0,Adaptive-IoUT-VBF,mean_hops,0.6062812000000001,0.08950544728943942,20,0.0
s2_speed,maxSpeed,2.0,Adaptive-IoUT-VBF,mean_hops,0.5032684,0.07623739218248793,20,0.0
s2_speed,maxSpeed,3.0,Adaptive-IoUT-VBF,mean_hops,0.4493393,0.06870519370315095,20,0.0
s2_speed,maxSpeed,5.0,Adaptive-IoUT-VBF,mean_hops,0.40023870000000006,0.06744585351736967,20,0.0
s2_speed,maxSpeed,7.0,Adaptive-IoUT-VBF,mean_hops,0.32791585,0.07485875165604869,20,0.0
s2_speed,maxSpeed,10.0,Adaptive-IoUT-VBF,mean_hops,0.26136419999999994,0.04635201045541402,20,0.0
s2_speed,maxSpeed,1.0,Classic-VBF,mean_hops,1.0,0.0,20,0.0
s2_speed,maxSpeed,2.0,Classic-VBF,mean_hops,1.0,0.0,20,0.0
s2_speed,maxSpeed,3.0,Classic-VBF,mean_hops,1.0,0.0,20,0.0
s2_speed,maxSpeed,5.0,Classic-VBF,mean_hops,1.0,0.0,20,0.0
s2_speed,maxSpeed,7.0,Classic-VBF,mean_hops,1.0,0.0,20,0.0
s2_speed,maxSpeed,10.0,Classic-VBF,mean_hops,1.0,0.0,20,0.0
s2_speed,maxSpeed,1.0,HHVBF,mean_hops,1.0,0.0,20,0.0
s2_speed,maxSpeed,2.0,HHVBF,mean_hops,1.0,0.0,20,0.0
s2_speed,maxSpeed,3.0,HHVBF,mean_hops,1.0,0.0,20,0.0
s2_speed,maxSpeed,5.0,HHVBF,mean_hops,1.0,0.0,20,0.0
s2_speed,maxSpeed,7.0,HHVBF,mean_hops,1.0,0.0,20,0.0
s2_speed,maxSpeed,10.0,HHVBF,mean_hops,1.0,0.0,20,0.0
s2_speed,maxSpeed,1.0,DBR,mean_hops,1.2977363,0.2116515768502311,20,0.0
s2_speed,maxSpeed,2.0,DBR,mean_hops,1.0923795,0.25760302401497864,20,0.0
s2_speed,maxSpeed,3.0,DBR,mean_hops,1.1761323999999997,0.2201887995747161,20,0.0
s2_speed,maxSpeed,5.0,DBR,mean_hops,1.0486825999999998,0.20136648000007848,20,0.0
s2_speed,maxSpeed,7.0,DBR,mean_hops,0.9824419000000001,0.16565132665406845,20,0.0
s2_speed,maxSpeed,10.0,DBR,mean_hops,1.0089966000000001,0.20592877907861495,20,0.0
s2_speed,maxSpeed,1.0,Adaptive-IoUT-VBF,energy_gap_J,2.99688745,0.24469898500385107,20,0.0
s2_speed,maxSpeed,2.0,Adaptive-IoUT-VBF,energy_gap_J,2.59364295,0.24721289386725545,20,0.0
s2_speed,maxSpeed,3.0,Adaptive-IoUT-VBF,energy_gap_J,2.3453163000000004,0.23309856610246277,20,0.0
s2_speed,maxSpeed,5.0,Adaptive-IoUT-VBF,energy_gap_J,2.06315015,0.1718787040439116,20,0.0
s2_speed,maxSpeed,7.0,Adaptive-IoUT-VBF,energy_gap_J,1.88601885,0.17719084552562528,20,0.0
s2_speed,maxSpeed,10.0,Adaptive-IoUT-VBF,energy_gap_J,1.7952609,0.17042200006478703,20,0.0
s2_speed,maxSpeed,1.0,Classic-VBF,energy_gap_J,5.9744573999999995,0.671373484705889,20,0.0
s2_speed,maxSpeed,2.0,Classic-VBF,energy_gap_J,4.9718767,0.5853490159478698,20,0.0
